,GENDER,RACE
0, Male, White
1, Male, White
2, Male, White
3, Male, Black
4, Female, Black
5, Female, White
6, Female, Black
7, Male, White
8, Female, White
9, Male, White
10, Male, Black
11, Male, Asian-Pac-Islander
12, Female, White
13, Male, Black
14, Male, Asian-Pac-Islander
15, Male, Amer-Indian-Eskimo
16, Male, White
17, Male, White
18, Male, White
19, Female, White
20, Male, White
21, Female, Black
22, Male, Black
23, Male, White
24, Female, White
25, Male, White
26, Male, White
27, Male, Asian-Pac-Islander
28, Male, White
29, Male, White
30, Male, White
31, Male, Black
32, Male, White
33, Male, White
34, Male, Black
35, Male, White
36, Male, White
37, Female, White
38, Male, White
39, Male, White
40, Male, White
41, Male, White
42, Male, White
43, Female, White
44, Male, White
45, Male, Black
46, Male, White
47, Female, White
48, Male, White
49, Male, White
50, Female, Other
51, Female, White
52, Female, White
53, Male, White
54, Male, White
55, Male, White
56, Male, White
57, Male, White
58, Male, White
59, Male, White
60, Male, White
61, Male, White
62, Male, White
63, Male, White
64, Male, White
65, Male, White
66, Female, White
67, Female, White
68, Male, White
69, Male, White
70, Male, White
71, Female, Black
72, Male, White
73, Male, White
74, Male, White
75, Male, White
76, Male, White
77, Male, White
78, Female, White
79, Male, White
80, Male, White
81, Male, White
82, Female, White
83, Male, White
84, Female, White
85, Female, White
86, Male, White
87, Male, White
88, Male, White
89, Female, White
90, Male, White
91, Female, White
92, Female, Black
93, Female, Asian-Pac-Islander
94, Male, White
95, Male, White
96, Male, White
97, Male, White
98, Female, White
99, Male, Black
100, Male, White
101, Male, White
102, Female, White
103, Female, White
104, Male, White
105, Male, White
106, Female, White
107, Male, White
108, Female, White
109, Male, White
110, Male, White
111, Male, White
112, Male, White
113, Female, White
114, Female, White
115, Male, White
116, Male, White
117, Male, Black
118, Male, White
119, Male, White
120, Female, White
121, Male, White
122, Male, Black
123, Male, White
124, Male, Black
125, Female, White
126, Female, White
127, Male, White
128, Male, White
129, Male, White
130, Female, White
131, Female, White
132, Male, White
133, Male, White
134, Female, Black
135, Male, White
136, Male, White
137, Female, White
138, Male, White
139, Male, Asian-Pac-Islander
140, Male, White
141, Female, White
142, Male, White
143, Female, White
144, Male, White
145, Female, Black
146, Male, White
147, Female, White
148, Male, White
149, Female, White
150, Female, White
151, Female, White
152, Female, Asian-Pac-Islander
153, Male, White
154, Male, White
155, Male, White
156, Male, White
157, Male, Black
158, Male, White
159, Male, Black
160, Female, White
161, Female, White
162, Female, Asian-Pac-Islander
163, Female, Asian-Pac-Islander
164, Male, White
165, Female, White
166, Male, White
167, Male, White
168, Male, White
169, Female, White
170, Male, White
171, Male, White
172, Male, White
173, Male, White
174, Male, White
175, Female, White
176, Male, Black
177, Male, Black
178, Male, White
179, Male, White
180, Male, Black
181, Female, White
182, Male, Black
183, Male, White
184, Male, White
185, Male, Black
186, Female, White
187, Female, White
188, Female, White
189, Male, White
190, Female, Black
191, Male, White
192, Male, Black
193, Male, White
194, Male, White
195, Male, White
196, Male, White
197, Female, White
198, Male, White
199, Male, White
200, Female, White
201, Male, White
202, Male, White
203, Female, White
