,EDUCATION,SEX,MARRIAGE,AGE
0,2,2,1,24
1,2,2,2,26
2,2,2,2,34
3,2,2,1,37
4,2,1,1,57
5,1,1,2,37
6,1,1,2,29
7,2,2,2,23
8,3,2,1,28
9,3,1,2,35
10,3,2,2,34
11,1,2,2,51
12,2,2,2,41
13,2,1,2,30
14,1,1,2,29
15,3,2,3,23
16,1,1,2,24
17,1,1,1,49
18,1,2,1,49
19,1,2,2,29
20,3,2,2,39
21,2,2,1,39
22,2,2,2,26
23,1,2,1,40
24,1,1,2,23
25,3,1,2,23
26,1,1,2,27
27,3,2,2,30
28,3,2,1,47
29,1,1,2,26
30,1,2,2,27
31,2,1,2,33
32,1,1,2,32
33,2,2,1,54
34,1,1,1,58
35,1,1,2,30
36,2,1,1,40
37,2,2,2,22
38,1,1,2,25
39,1,1,2,31
40,1,1,2,33
41,1,2,2,25
42,2,1,2,22
43,2,2,1,37
44,1,2,2,30
45,1,1,2,29
46,1,2,2,22
47,5,2,2,46
48,2,1,2,32
49,1,1,2,24
50,3,1,2,42
51,3,2,3,43
52,2,2,1,49
53,1,2,2,25
54,1,2,2,29
55,1,2,1,45
56,3,2,1,34
57,2,2,1,34
58,1,2,2,34
59,2,2,1,29
60,3,2,1,28
61,2,1,1,39
62,1,1,2,29
63,2,2,1,46
64,2,2,1,51
65,1,1,1,57
66,2,1,1,56
67,1,2,2,30
68,3,2,2,29
69,5,1,2,22
70,1,1,2,31
71,2,1,2,29
72,2,2,1,32
73,1,2,2,37
74,1,1,2,32
75,2,1,2,24
76,3,1,2,25
77,1,2,1,45
78,2,2,2,22
79,2,2,2,44
80,3,2,3,33
81,1,2,2,26
82,3,1,2,30
83,2,2,1,44
84,3,2,2,49
85,2,1,2,33
86,1,2,1,45
87,2,2,2,32
88,1,2,1,35
89,3,1,2,44
90,1,1,1,53
91,1,2,2,39
92,1,2,2,27
93,2,2,1,37
94,2,2,2,23
95,2,1,2,35
96,1,1,1,43
97,1,1,2,27
98,3,2,1,22
99,2,1,1,38
100,1,1,2,32
101,1,2,2,30
102,1,1,1,63
103,3,2,2,22
104,2,2,2,26
105,2,2,2,24
106,2,2,1,36
107,1,1,2,52
108,2,1,2,38
109,2,1,1,35
110,1,2,1,31
111,3,1,1,47
112,2,1,1,41
113,1,2,2,24
114,2,1,2,41
115,1,1,2,24
116,1,1,2,28
117,2,1,2,26
118,2,1,1,34
119,2,2,2,38
120,3,1,2,37
121,1,1,1,40
122,1,2,1,48
123,2,2,1,35
124,1,1,2,27
125,2,1,2,23
126,3,1,2,52
